,Perpetrator Capacity,Aggressiveness,Anger,Autonomy violation,Betrayal,Callousness,Challenge authority,Coldness,Contempt,Vice Investment,Deception,Deliberateness,Lust,Disgust,Disrupt social order,Fairness violation,Guilt,Harm to life,Harm to others,Harm to property,Harm to society,Harm to the environment,Harm to the self,Hate,Hedonism,Impulsivity,Injustice,Irresponsibility,Norm violation,Oppression,Perceived harm,Psychological harm,Self-indulgence,Selfish,Sense of dirtiness,Sexual relevance,Shame,Premeditation,Risk,Unjust-gain
Bully,-0.26830682270936,1.14233239914948,0.933143258024299,0.840308264813987,-0.0827263530081281,1.09090904090972,-0.174772313957415,0.873733434777834,0.998683383914413,-1.58554781480084,-0.823643798652861,-0.0429086006175574,-0.261253101617924,-0.0581660124085863,-1.05894706729585,0.257231863044895,-1.05294678445771,0.537866094368268,0.629626154135658,-0.558440509326288,0.379832309140219,-0.162407577779921,-0.485142771466489,0.863477635257796,0.545051785720153,0.574741117052207,0.12723592840034,0.013448280612485,0.677919078469793,0.441258016765263,0.494152598582993,1.35515515206718,-0.032801322111068,-0.570144319236345,-0.420286669990064,-0.626696114803053,0.108434873366747,-0.058422202916458,-0.054049379794,-1.07603932614644
Cheat in exams,-0.558614239958347,-0.890536990598611,-0.511764252507309,-0.093861854883934,1.02236837518006,-1.73614607314897,0.915505254351036,-0.725846244589595,-0.475504354377653,-0.967376418332817,0.782918714006558,1.06775405557461,1.0157172053127,-0.752540952322302,-1.21808922402864,-0.275366849196722,0.445228104792156,-1.45413626662835,-1.36302284732502,-0.31127217225563,-0.954956801922174,-1.16107766567405,-0.185808074516977,-1.67839235360454,-0.401798853687429,-0.833864894256138,0.273095868041131,-0.435937333913619,-0.242683477122776,-0.783763493105762,-0.881772504359472,-1.49449125655387,-0.032801322111068,0.817451789309437,-1.67890405262393,-0.952785368688201,-0.228429514136227,0.763723936206406,-0.163166566457526,-0.0255579874634884
Commit terrorism,1.70107592673647,1.87518500046932,1.89903251778184,1.85603291877125,1.64537479912508,1.62011147605372,2.22711736660181,1.72056973561941,1.85167251550479,1.35849346087814,1.20368508636974,1.39169733029733,0.615099069805052,1.26599084975245,2.07842687972198,0.576791090389866,1.19022217540274,2.03345892131461,1.48270911322745,2.13133257056028,2.01697696469741,3.09014179104959,1.68897239585102,1.84908687727739,-0.401798853687429,0.483156839285162,0.695322009106578,1.03205567353832,1.69887916587374,0.987907400202333,1.89263385075402,1.54857006667947,-1.10479512244705,0.912060614892104,1.12819410985644,-0.365824711694935,-0.334807741768745,1.45507409865063,1.37902300505365,0.712014016292624
Conceal criminal proceeds,1.30092245971759,0.205555595723243,0.34418639231848,-1.34683606305019,0.443862410088258,-0.155501957653101,1.18602525250276,-0.793055474815118,0.210595599292868,1.51303630999515,1.35031579189024,1.12328718838422,1.2911421734742,0.0548717685076001,0.881071605256235,0.510216251359664,1.18203542737406,-0.346761152208503,0.145788057934343,0.0812893042683557,1.14678295859043,-0.629675233583598,0.727950474065747,0.224456258563775,-0.250621020504706,-0.890607327220502,1.21734705624204,0.432874854170182,0.314419356948264,0.500533251113861,-0.753954325397604,-0.462945045288333,-0.142532970964358,1.37722067400688,0.861214665055322,-0.116811099637185,0.773298796069985,1.36787678086487,0.266027701085678,0.929933017402384
Corporal punishment,-0.0956916016423955,0.74085662625252,0.0065177893138111,0.936690896211392,0.236193602106585,0.345847717746471,-0.453489887810704,1.08880297149951,0.4702009871682,0.0216978160160279,-0.339124945628592,-0.0336530784826232,-0.820449249097347,-0.0581660124085863,0.524896302092375,-0.321969236517864,0.191438915902835,0.327846676116229,0.215817256068744,-1.01642889860427,0.247090850581528,-0.327325573945925,-0.619055662207061,1.28317387842548,-0.0994431873219828,0.0770004770139226,-0.379435440878195,0.412902160191244,1.1994621571746,0.704703502759032,0.291147255525908,1.16174023745489,1.00542889396237,-1.17721761672513,-0.694894098928361,-0.0812377264860781,-0.255024071044357,-0.525550691054449,-0.832418644660489,-1.28837066056107
Corruption,0.249538840491534,-0.642004369281446,-0.896549404768444,-0.864922906063171,1.6972920011205,0.380663667426997,0.464638590764835,-0.443567477642402,0.720534754047985,0.454417793543647,0.751042473676014,0.447634072533984,0.489905902458913,0.103316531757394,-0.46784762800264,0.603421026001947,-0.0050430367856715,-0.518595221687445,0.464102594908892,1.12811990833232,-0.47561264601579,-0.272352908557257,-0.311843736390455,-0.449765448202375,0.767840171463113,-0.126077704121697,1.44765222409592,-0.176292312187425,0.542001791292178,-0.322733892616666,1.35128626926846,-0.372684751802598,0.127575703136048,1.23530743563288,0.365395696138953,-0.739345129781559,-0.565293901639201,1.65438225358951,0.462438637080025,1.6675050211585
Counterfeit currency,1.65399904826366,-0.489061217701653,-0.315445297272036,-0.649915497561268,0.525446584652487,-0.858784141199723,1.97299251985322,-1.22319454825846,-0.058281409578012,0.469872078455348,1.26743756703083,1.13254271051915,0.656830125587098,-0.389205227948846,1.04021376198902,0.144054636693551,-0.807344343597074,-0.155834408343013,0.413172268992965,0.0158623915143581,0.689562379110498,-0.757944786157156,-0.587546746738691,-0.0273614873368352,0.242696119354706,-0.926444653303259,1.33249964016898,1.13191914343301,0.684240812757124,-0.684971435858098,1.28361782158277,-1.53962140329674,-0.201619243423822,1.13281454125166,0.250975934081329,-0.857923040285249,-0.804644913812367,1.06891454845656,0.375144887749204,1.26519301910971
Cut corners in construction,-0.174153065763743,-0.221410702437014,0.249953293805549,0.336152962119871,0.488362868941474,-0.162465147589206,0.0465622299849022,0.268850362748134,0.915238794954484,-0.557837868172748,1.04430388471702,0.660511081637483,0.0392105000128109,-0.453798245615238,-0.695193566192338,0.357094121590199,-0.0132297848143596,0.595144117527915,0.585062118959221,1.27351304778565,0.95504529622788,1.17526061334433,-1.4067785489163,-1.19100316799046,-0.266534476629203,0.0172716002093285,-1.03964358872598,0.712492569875313,0.172180335483318,-1.13282876204751,0.719714090868643,-0.740173089565947,0.431447961499004,0.699190757331103,0.525583363019626,-0.561478264026024,-0.396861707887714,0.203169750440817,0.0550678068695265,0.712014016292624
Defame,-0.0015378446967782,0.333008222039737,-0.205506682340283,-0.338525457661961,1.71212548740491,0.617412125254573,0.972888284262008,0.490640822492357,0.0900645263507492,0.29214780197079,0.910423675328734,1.02147644489994,-0.820449249097347,0.636208927505129,0.805289625859669,0.496901283553623,-0.668169627109382,0.69060748946066,0.145788057934343,-0.267654230419631,0.940296245276915,-0.822079562443935,-0.311843736390455,0.416704215111553,-0.354058485313938,0.0770004770139226,0.511077874823474,0.09666783885806,0.677919078469793,0.434671879615419,-1.73138745863542,0.84582921025482,-0.311350892277111,0.620350069345547,0.395907632687652,0.96817678147158,0.356650737842622,0.109744052813219,0.127812597978544,0.147659680085296
Default on debt,-1.3824596132325,-0.540042268228251,-1.24992352419194,0.558574419190805,-1.74407681686152,-1.49243442538529,-0.609243826140482,-1.41810131591247,-2.0238650606341,0.400327796352695,-0.326374449496374,-0.0151420342127532,-1.02910452800758,-1.51150890990241,-0.634567982675085,-1.40713911271016,-0.610862390908568,-1.37140134428663,-1.32482510288807,0.568356321437004,-1.21306519356407,-1.18856399836839,0.018999876027427,-1.14023346115566,-1.77035608039419,-1.22707999988638,-0.218221823380479,-0.111381056755877,-0.863003654067125,-1.33699901369268,-0.874253787949951,-0.366237587982189,-1.18076318703779,-0.680521282416124,-0.969501527866658,-0.597051637177131,-0.387996855585004,-0.836969683146443,-0.0685983380158036,0.0079680127072439
