,Altruism,Autonomy,Care for others,Competence,Courage,Duty,Empathy,Fairness,Gratitude,Honesty,Indignation,Justice,Love,Loyalty,Generosity,Nobility,Obey rule,Zeal,Respect,Dedication,Sanctity,Self-improvement,Self-control,Social contribution,Temperance,Warmth,Encouragement,Honor,Benefit others materially,Benefit others physically,Benefit others spiritually,Moral Flexibility,Deserved Reward,Gratification,Moral Imperative,Pro-environment,Self-discipline,Self-Identification,Uphold order,Moral Urgency
Offer seat to the elderly,0.398055528,1.113036346,1.369382786,-1.182077285,-0.589211329,-0.291234325,0.939510189,0.195689681,0.498673537,-0.675574346,-0.667319681,0.26114056,0.490645298,-0.916590403,-1.15007158,0.222788859,-0.141761009,0.612546687,1.583171396,-0.873837271,-0.195956232,-1.007853902,-0.441681011,-0.022207366,0.303601829,0.972756271,0.491415952,-0.141727766,-0.517954486,0.328751084,0.399348684,-0.429586711,-1.422980705,0.237041142,-0.58803516,-0.420883288,-0.590427481,0.011369792,-0.411147956,-0.192309067
Oppose discrimination,1.017002195,-0.173113058,0.927665752,0.443040727,1.35706254,-0.363416495,0.510370506,2.029528244,0.50005071,-0.25896012,2.503973546,1.443563561,0.581605045,-0.346416218,-0.040474004,1.058041614,0.954657605,0.501850217,1.739143752,0.647782408,0.672762151,0.514643045,-0.079730865,0.888360696,0.528706418,1.304529565,1.181022532,-0.054336954,0.125638169,1.351431382,1.104269604,0.074818517,-0.30258375,0.452326383,0.822898598,-0.270311756,0.147819919,1.856083495,0.889893219,0.051236053
Pay attention in class,-1.645426959,-0.590780132,-1.036099839,-1.011367462,-0.109859986,-0.123777575,-1.827745193,-0.380072628,-1.620106471,-0.692486863,0.025125383,-1.495284907,-1.322854491,-0.153374263,-0.70555042,-1.468591191,-0.562166791,1.393011779,0.192090909,-0.751592231,-0.551322852,1.497732466,1.867336428,-0.857631461,1.346719749,-1.849615077,-0.590215897,-0.881034738,-0.592614428,-1.3583506,-0.922573419,-0.345802419,-0.707315958,-0.135435056,0.395039037,-0.749989635,1.910131734,0.076950632,-0.676397126,-0.539678409
Persevere,-2.142067978,0.08544275,-1.447605096,1.516630473,0.875191621,-1.229889347,-1.752769238,-0.442177532,-1.819107908,-1.058924736,-0.746481673,-1.165932133,-0.961749176,-0.468960846,-0.689444581,-1.437866758,-0.659535341,-0.447805754,-1.019256236,0.585841124,0.839991307,2.306718229,2.567874438,-0.853947933,1.698281394,-1.466557077,-0.022171393,-0.738484793,-1.002112897,-1.099495692,-1.943354139,-1.130678253,-0.607065607,-0.11225189,0.59392688,-0.969393866,2.199857846,0.233095488,-0.822424195,-0.516207508
Practice self-discipline,-2.171364218,-0.604039404,-1.705446997,0.599531591,-0.371774182,-0.280605241,-1.970735049,-1.07071671,-1.456222934,-0.173727921,-0.478531672,-1.168232082,-1.249473148,-1.014460966,-0.78708623,-1.24535898,-0.148271164,-2.092598288,-1.166331845,-1.048127229,-1.005338658,2.505148699,2.692693545,-1.328662572,2.863741452,-1.96884188,-0.787388369,-1.25303151,-1.308671144,-1.63103745,-1.859211694,-1.299209873,-1.000394789,-1.729277706,0.55308384,-0.562581854,2.639512156,-0.791605132,0.38129894,-0.991493264
Praise others' strength,0.17931027,0.32410965,0.006727406,-1.165286155,-0.132370307,-0.631001645,0.831544814,-0.369663985,-0.582957804,-0.753632118,-0.299083,-1.412486724,-0.163483832,-1.134984063,-1.270865373,-0.814160763,-0.995092102,-0.041735426,-0.568069957,-1.387024369,-0.527013344,-0.631579118,-0.248679806,-1.454362957,0.315824702,0.269461782,-1.818318725,-0.77441519,-1.180391789,-1.060766255,0.707575747,-0.042445502,-0.93195858,-0.041156848,-1.355173983,-0.903572597,-0.989155445,-1.824893719,-1.582565103,-1.084203325
Pray for family's health,-0.553560747,0.90088799,1.386051354,-0.367707471,-0.941334935,-0.633621604,0.042369336,-0.325752522,-0.351960057,-0.577568477,-0.599720677,-0.735381578,1.26486082,-0.701294526,-0.786079615,-0.704320914,-0.80538994,-0.037581254,-0.620878207,-0.975506413,1.153381377,-1.113106906,-0.822344547,-1.211250125,-0.697015521,0.720704106,-0.993950007,-0.539305419,-0.536053865,0.323218307,-0.016934994,-1.077711172,-1.265853625,0.335955983,-1.399686977,-0.343685503,-1.045885033,-0.932786106,-1.142483525,-0.563149311
Pray to God,-1.10414405,-2.526633874,-0.556878528,-0.956796288,-1.220068974,-1.96375734,-0.957595684,-1.623905476,-0.616905108,-0.108354537,-0.216363165,-0.875954494,-1.705292226,0.082444422,-0.227206998,-0.883290737,-2.10674281,0.181032055,-0.176177152,-1.353134655,2.630791709,-2.227418015,-0.999071601,-1.495250115,-1.379676675,-0.719977034,-2.232380917,-1.12122163,-0.027913776,-0.638694435,-0.886702166,-0.631824655,-0.432343567,-0.585188473,-0.20872763,0.025238649,-0.066489211,-1.101943034,-0.665595124,-0.171185255
Preserve national secret,0.44190962,1.663296142,-0.840918269,-0.03600034,0.101737023,2.269817,0.011370874,0.468231782,-0.400620155,1.063430367,-0.133015477,0.473363669,1.056174101,2.482588006,0.13005841,0.814053467,2.163835443,0.243436274,0.18432499,-0.125415688,1.101723673,-0.768954059,1.662381976,1.200377164,1.76021062,-0.751815913,0.912602863,1.157280139,0.183130317,0.276026977,-0.96360263,-1.2456763,0.078680489,-0.136798772,1.088639498,-0.58436095,0.426700669,0.009900194,1.466000013,0.788498489
Promote justice,0.860686477,0.801443449,0.638159056,1.063220861,2.409326212,0.541430024,1.141640853,2.156383582,1.207192586,0.217844783,2.563950176,1.836688311,0.288960568,0.602627304,0.37396464,1.128027687,0.547501658,0.217681692,0.795874989,1.065520723,0.773165483,-0.266676932,0.082293938,0.410277567,-0.048103906,0.40881425,1.125036363,1.180132626,0.860932481,1.454941534,0.800715141,0.660065254,1.547186287,0.71502108,1.01712432,0.248876997,-0.129254315,1.448559923,0.840620928,1.618409221
Protect nature,-0.088541066,0.993702896,-0.434989629,0.261959911,-0.577109917,0.603223629,-0.885618767,-0.24178637,-0.447168588,0.037353304,0.319981566,0.362706332,0.502657424,0.184671241,-0.159562473,0.05687692,0.94729493,1.472460322,-0.156721481,-0.273505195,0.098088283,-0.365006316,-0.012863486,0.76017393,0.233288364,-0.475202971,0.812525407,0.2003921,0.280228167,0.167510164,-1.237443307,0.691389327,0.025534564,0.03921146,-0.190259473,3.226102603,-0.084723721,0.660932395,0.625844272,0.812245519
Protect vulnerable groups,1.826595989,-0.252668691,1.656915573,0.558603211,1.253943836,1.01972226,0.708155814,2.507954088,1.758235575,0.469272974,1.872979744,1.5903274,0.92036211,-0.089482501,1.806960484,1.582345031,0.412764698,0.886722049,0.182363073,1.658208503,0.622913191,0.13461326,0.151733139,2.121605788,-0.955396741,1.611697016,1.07166637,1.920364579,1.49107668,1.675587003,1.180544861,0.598937695,1.783393773,0.836712364,0.991702566,-0.201479056,-1.363570728,0.398609036,1.221154626,0.746526995
