"","loyalty","respect","fairness","social contribution","altruism","self-advancement","caring for others","self-control","sanctity","obeying rule","sacrifice","duty","empathy","temperance","material cost","competence","love","courage","justice","autonomy","indignation","honesty","warmth","passion","gratitude","nobility"
"Serve the country loyally",91.2857142857143,82.6428571428571,49.8,84.1428571428571,82,56.6666666666667,62.3571428571429,40.0666666666667,67.8666666666667,81.1333333333333,79.7142857142857,82.4666666666667,84.5714285714286,24.4666666666667,67.1428571428571,90.5714285714286,89.9333333333333,77.6666666666667,82.3571428571429,76,61.2142857142857,61.9285714285714,77.2142857142857,75.6428571428571,83.1428571428571,90.8571428571429
"Oppose discrimination",50.6470588235294,80.4705882352941,79,74,77.1764705882353,54.25,77,48.5,55.4166666666667,71.8333333333333,67.3529411764706,47.8333333333333,73.2352941176471,53.5833333333333,48.1764705882353,63.8235294117647,64.6666666666667,67.8333333333333,82.1176470588235,64.1764705882353,72.8823529411765,51.4705882352941,84.4117647058823,65.8823529411765,69.3529411764706,77.8823529411765
"Advocate for equal right",66.8666666666667,75.1333333333333,85.0555555555556,74.6666666666667,74.4,48.5555555555556,59.0666666666667,49,57.5555555555556,71.0555555555556,65.5333333333333,73.8888888888889,75.2666666666667,42.7777777777778,56.8666666666667,69,63.3888888888889,55.6111111111111,85,72.6470588235294,49.8666666666667,69.5333333333333,71.9333333333333,67.0666666666667,63.8,76.6
"Respect elders",73.8181818181818,87.0454545454545,57.5789473684211,54.6818181818182,66.9090909090909,41.4210526315789,87.8636363636364,46,60.1052631578947,69.0526315789474,64.3181818181818,85.5789473684211,73.2727272727273,47.5789473684211,48.7727272727273,58.3181818181818,81.4736842105263,36.7368421052632,57.2272727272727,74,38.9545454545455,54.3181818181818,85.3181818181818,60.3636363636364,67.3636363636364,72.4545454545455
"Use the Internet ethically",46.1111111111111,52.2777777777778,37,49.2777777777778,58.5,33.5,43.8333333333333,58.0714285714286,33.6428571428571,75.2857142857143,40.9444444444444,46.3571428571429,60.0555555555556,64.2142857142857,37.1111111111111,37.7777777777778,37.2857142857143,25.5,47.8333333333333,61.9411764705882,38.7777777777778,51.9444444444444,52.8333333333333,51.2222222222222,42.9444444444444,38.8333333333333
"Persevere",48.8888888888889,47.3888888888889,42.4666666666667,47.7222222222222,30,78.3333333333333,39,85.2666666666667,57.5333333333333,45.7333333333333,66.5,31.9333333333333,43.8888888888889,69.4666666666667,39.2222222222222,76.6111111111111,39.0666666666667,59.6,42.7222222222222,66.4705882352941,32.2777777777778,41.2222222222222,44.2222222222222,55.7222222222222,36.3333333333333,41.7777777777778
"Protect wildlife",56,66.9230769230769,59.2142857142857,67.0769230769231,58.6153846153846,51,61.6923076923077,60.0714285714286,63.2857142857143,84.3571428571429,72.4615384615385,84.7857142857143,69.3076923076923,53.6428571428571,57.9230769230769,60.8461538461538,80.5714285714286,50.3571428571429,74.9230769230769,72.7058823529412,47.3846153846154,53.6923076923077,73.2307692307692,70.5384615384615,62.5384615384615,64.3076923076923
"Uphold justice bravely",73.1666666666667,79.7222222222222,55.8125,84.6666666666667,81.7777777777778,52.4375,72.9444444444444,49.5625,72.75,54.75,87.1666666666667,52.0625,74.9444444444444,34.1875,57.3888888888889,76.6666666666667,63.5,92.3125,87.6111111111111,68.7647058823529,62.7222222222222,56.2222222222222,80.8333333333333,67.6111111111111,85.4444444444444,86
"Value relationship",60.7142857142857,62.2857142857143,37.7142857142857,60.1428571428571,60.2857142857143,38.5,70.7142857142857,30.6428571428571,45.0714285714286,47.5714285714286,58.7857142857143,36.4285714285714,75.8571428571429,34.6428571428571,53.2142857142857,56.1428571428571,54,48.3571428571429,54.7142857142857,65.9411764705882,30.8571428571429,63.2857142857143,69,55.5,70.5714285714286,57.8571428571429
"Adhere to principle",70.5714285714286,51.6666666666667,70.3888888888889,59.3333333333333,48.4761904761905,57.4444444444444,35.7142857142857,75,69.2222222222222,82.1111111111111,54.5238095238095,72,48.4761904761905,54.0555555555556,28.6666666666667,62.9047619047619,41.5,55,66.2857142857143,64.2352941176471,37,60.3809523809524,42.6190476190476,43.6666666666667,46.2380952380952,56.3809523809524
"Offer seat to the elderly",42.4666666666667,78.6,51.8947368421053,60.2666666666667,67.9333333333333,33.7894736842105,84.0666666666667,43.4736842105263,44.4210526315789,54.1052631578947,46.4,49.1578947368421,78.8,50.5263157894737,32.8666666666667,44.4666666666667,63.1578947368421,34.5789473684211,64.2666666666667,75.5882352941177,33.2666666666667,46.1333333333333,79.6,67.0666666666667,69.3333333333333,65.8
"Be dedicated to one's job",77,77.1333333333333,59.4285714285714,72,59.4,71.2857142857143,55.5333333333333,63.9285714285714,57.0714285714286,68.8571428571429,70.6,76.7857142857143,73.5333333333333,54.5714285714286,46.8,76.0666666666667,70,46.9285714285714,69.4666666666667,66.1764705882353,45.9333333333333,71.6,64.8666666666667,76,62.3333333333333,74
"Stop bullying",68,55.7777777777778,70.1875,74.2777777777778,81.8333333333333,47.9375,84.2777777777778,53.1875,59,71.3125,73.0555555555556,57.0625,82.2222222222222,52.1875,47.5,69,64.75,84.75,91.2222222222222,66.5294117647059,87.1666666666667,56.2777777777778,81.6111111111111,61,84.8888888888889,75.7777777777778
"Lead teams effectively",56.9375,59.125,42.1428571428571,58.6875,57.6875,60.4285714285714,58,38.3571428571429,20.5,35.5714285714286,65.5,48.5714285714286,68.875,33.8571428571429,41.5625,81.0625,35,30.4285714285714,59.5625,50.4117647058824,36.8125,58.25,52.5625,64.25,55.5625,49.25
"Pray for family's health",45.5555555555556,52.1666666666667,44.1875,42.3333333333333,53.7222222222222,32.375,84.3333333333333,38.1875,61.5,43.375,45,42.875,67.1666666666667,36.9375,37.8888888888889,54.1666666666667,76,28.5625,49.2222222222222,73.7058823529412,34.1111111111111,47.3888888888889,75.9444444444444,60.1111111111111,57.2222222222222,52.3888888888889
"Share joys and sorrows",69.5882352941177,56.5882352941176,47.6875,61.1176470588235,70.9411764705882,53.625,73.0588235294118,62.75,53,54.9375,74.7647058823529,59.875,79.5882352941177,51.6875,61.1176470588235,62.6470588235294,74,57.9375,62.8823529411765,55.2941176470588,41.3529411764706,46.6470588235294,74.8823529411765,60.7647058823529,71.7647058823529,73.1176470588235
"Pray to God",56.8,57.5,25,38.05,45.5,17.4,53.25,35.7333333333333,80.2,22.3333333333333,39.8,18.4666666666667,54.2,27.6666666666667,45.6,47.15,26.7333333333333,23.8,47.1,43.2941176470588,38.9,53.4,55.05,62.45,53.45,49.8
"Read religious scripts",52.8,52.85,15.0714285714286,37,37.35,34.1428571428571,43.4,24.2142857142857,64.3571428571429,25.1428571428571,32.8,12.4285714285714,40.55,22.2857142857143,39.6,34.1,26.7142857142857,14.5714285714286,42.25,41.8235294117647,21.5,44.15,48.35,55.9,39.65,41.85
"Adhere to female chastity",33.5,37.6,36.4,37.3,38.9,29.9,45.2,32.1,45.8,42.6,31,45.3,58,26.7,24.5,28.2,42.8,20.1,30.6,81.7,20.8,32.8,61.1,35,55.4,47
"Do good without expecting a reward",32.7,40.2,41.9,66.2,47.1,32,60.3,36.5,43.1,50.7,57.1,33.8,56.7,29,59.9,46.3,60.2,20.4,33.6,36.9,21.4,34,79.5,55.8,81.3,77.8
"Take the less share",30.5,35.9,35.8,44.5,45.3,30.6,46.6,39.7,33.3,44.1,34.1,25.9,54.1,29.1,36.6,35.2,37.5,20.9,30,48,19,35.8,66,41.9,56.9,56.7
"Treat disabled people kindly",54.6111111111111,65.2222222222222,58.6666666666667,70.6111111111111,85.5,36.1333333333333,88.7777777777778,45.8,51.0666666666667,69.2,63.6111111111111,55.6,88.5,44,53.9444444444444,62.4444444444444,70.7333333333333,49.8666666666667,70.3333333333333,71,46.7222222222222,57.8333333333333,86.5,70.5,88.2222222222222,72.8888888888889
"Protect nature",58.2666666666667,57.7333333333333,45.4285714285714,72.0666666666667,60.6666666666667,42.4285714285714,55.2,49.4285714285714,48.1428571428571,71.7142857142857,54.6666666666667,65.5714285714286,55.1333333333333,49.5714285714286,46.5333333333333,61.6666666666667,63.3571428571429,34.7857142857143,65.8,74.5294117647059,45.6,55.2666666666667,58.6,76.2666666666667,55.8666666666667,63.4
"Fulfill one's duties",81.5,71.9375,51.6666666666667,78.5625,65.625,68.75,53.75,72.9166666666667,61.3333333333333,82.3333333333333,78.8125,80.75,66.3125,64.8333333333333,42.0625,75.25,59.9166666666667,52.4166666666667,73.9375,69.4705882352941,44.4375,79.6875,64.25,64.1875,64.5,82.0625
