"","ability","aggressiveness","anger","autonomy violation","betrayal","callousness","challenging authority","coldness","contempt","cost","deception","deliberateness","desire","disgust","disrupting social order","fairness violation","guilt","harm to life","harm to others","harm to property","harm to society","harm to the environment","harm to the self","hate","hedonism","impulsivity","injustice","irresponsibility","norm violation","oppression","perceived harm","psychological harm","risk","self-indulgence","self-interest","sense of dirtiness","sexual relevance","shame","strategy","unjust-gain"
"Organize prison breaks","35,79,51,96,98,48,74,20","100,46,62,97,80,100,77,92","60,83,57,93,78,64,75,44","78,66,0,7,100,95,5","30,55,71,20,94,49,71,13","100,47,64,50,31,73,76,4","100,96,28,76,100,100,91,99","80,65,52,71,55,69,77,28","60,72,62,56,92,85,82,11","76,32,82,92,100,87,84,35","30,60,72,94,55,30,64,1","50,75,40,97,100,61,86,95","95,72,53,23,32,77,60,49","80,64,66,83,87,67,69,10","100,88,79,84,95,93,88,23","90,47,72,27,95,77,80,30","40,66,44,67,100,74,93,51","90,60,38,14,65,86,51,40","100,69,59,91,94,100,82,44","85,74,78,72,75,24,83,71","100,58,81,92,100,100,80,19","10,15,66,2,51,0,30,0","70,73,63,3,94,86,74,14","50,73,90,95,31,90","40,60,63,10,94,10,25,50","100,100,90,1,11,1","90,14,81,84","70,100,100,100,56,90","90,100,95,100,16,90","95,66,29,31,72,61,62,15","100,64,68,81","60,51,75,49,69,58,75,18","100,100,76,96,100,89,86,90","20,51,75,53,53,40,32,3","50,82,94,91,74,55,67,97","30,52,81,46,75,69,32,3","0,2,51,4,11,0,0,0","30,53,49,55,96,87,72,4","40,81,65,95,97,100,90,63","10,62,24,98,24,14,50,4"
"Perjury","9,5,36,96,40,44,69,4,100,80","6,20,36,90,0,44,0,7,0,84","16,40,25,86,25,38,100,24,0,86","38,78,0,13,69,2,40","42,25,65,83,70,54,100,84,30,100","5,5,22,90,50,28,18,9,86,78","22,55,67,85,20,25,100,100,27,84","9,5,8,67,15,38,0,19,15,83","12,55,24,88,40,21,95,99,0,85","0,80,3,94,5,29,100,1,12,83","62,90,93,82,75,37,100,100,82,72","87,80,45,87,95,25,100,70,100,79","7,50,25,0,20,40,50,34,100,84","8,70,21,62,80,39,84,24,56,86","7,80,9,10,10,39,14,73,58,82","7,80,60,86,90,35,30,68,70,0","34,95,82,81,70,45,100,17,0,81","16,1,29,21,50,41,20,3,12,67","13,10,50,88,60,41,100,28,77,80","9,25,1,78,50,42,0,10,0,83","10,10,5,94,5,54,100,25,56,57","10,1,4,0,0,40,0,1,0,85","0,20,100,0,80,42,41,91,16,84","53,49,100,30,24","10,1,8,17,5,34,0,5,49,77","72,70,53,10,9","62,100,100,100","100,68,55,50,44","100,55,100,65,36","7,1,10,32,10,44,41,6,31,91","30,27,88,100","3,10,21,86,50,43,89,28,17,84","19,50,34,98,30,45,100,31,100,45","4,10,15,0,0,48,50,55,77,86","50,90,93,82,90,59,100,100,100,76","6,10,20,58,40,36,0,18,0,96","0,0,1,0,0,37,0,4,0,87","10,90,42,98,50,55,73,90,77,36","22,80,29,92,15,42,81,81,100,82","42,75,50,63,5,26,40,2,100,59"
"Plagiarize works","20,7,93,53,58,75,58,44","0,0,66,52,45,75,15,0","20,5,70,73,63,75,8,0","15,49,0,7,68,1,30","0,62,66,73,59,100,18,14","35,14,66,69,68,0,0,30","50,0,85,50,66,0,47,20","30,21,66,68,61,50,12,6","60,0,100,62,67,0,6,100","10,10,46,47,47,50,69,8","100,61,100,70,80,100,83,100","30,81,100,60,74,75,74,100","0,7,100,51,77,75,17,28","0,21,47,62,79,100,18,44","10,0,74,55,46,50,68,40","60,66,81,40,71,100,23,92","50,41,38,50,85,100,1,62","0,0,1,54,40,0,14,23","10,32,21,66,53,100,18,13","0,35,63,51,60,75,0,53","10,24,52,49,45,30,50,10","0,0,14,41,10,0,35,0","0,23,79,39,51,76,41,23","34,27,7,40,49,14","0,0,62,57,49,50,18,8","42,13,10,65,39,18","100","29,53,80,85,60,60","16,45,72,70,41,51","0,13,3,50,15,50,24,5","20","0,36,20,63,50,50,8,66","0,11,61,65,69,100,92,43","0,0,45,54,81,0,12,16","100,92,100,54,82,100,54,75","10,29,100,45,53,100,27,7","0,0,0,42,56,0,0,0","75,60,98,65,52,100,24,100","0,26,100,73,23,100,20,86","25,14,85,56,75,75,63,47"
"Police brutality","100,70,100,82,12,20,33,20,100,63","100,100,100,100,100,95,34,100,100,90","100,95,94,94,86,90,32,100,100,80","50,60,100,9,100,100,100","92,75,100,20,39,75,29,80,100,38","99,100,100,95,91,30,37,100,100,81","99,100,100,91,55,10,37,0,100,34","100,100,97,99,100,80,53,100,100,59","96,100,98,82,85,2,30,100,100,100","72,15,66,94,24,5,43,100,100,48","68,5,6,96,20,1,30,0,100,47","98,85,100,98,61,50,36,100,100,87","51,95,99,72,42,10,32,100,100,45","90,100,93,94,86,85,33,100,95,73","91,100,65,81,53,90,34,50,100,31","100,100,100,79,100,82,42,100,100,99","100,70,96,98,85,72,60,100,13,90","100,100,100,94,100,80,37,80,100,88","100,100,100,98,100,60,35,80,100,98","31,5,22,8,29,1,35,50,0,32","93,100,69,92,92,36,45,80,99,68","100,5,0,3,0,1,51,0,25,2","21,1,0,14,39,1,42,40,2,28","38,90,32,0","0,95,100,27,36,35,61,50,90,41","71,80,25,100","80,100,100,100,100","100,95,73,100","63,81,69,100","95,100,99,99,84,5,32,100,100,86","85,100,100,100,60","98,100,97,99,99,85,49,100,100,95","100,15,30,97,53,90,29,50,100,42","0,100,91,93,55,40,24,100,100,33","53,90,2,88,47,20,32,0,100,61","82,90,59,97,72,10,27,100,0,52","0,65,0,3,5,1,29,0,26,17","99,100,100,98,83,75,47,100,100,51","89,10,1,54,10,10,35,60,99,25","0,1,0,50,11,1,37,0,100,41"
"Pollute water","80,0,100,82,100,26,17,16,16,22,0","100,100,80,100,0,12,0,85,9,36,100","100,100,100,72,0,14,8,20,100,33,70","65,93,0,14,96,100,65","100,50,25,39,0,78,59,20,5,23,50","100,100,40,100,0,39,75,70,98,67,100","100,100,30,0,0,84,0,23,54,38,0","100,100,25,100,0,29,82,80,30,73,50","100,100,81,75,66,80,5,72,62,38,50","40,0,30,29,0,56,2,20,10,23,10","15,90,100,39,100,27,0,20,32,53,0","100,100,90,80,0,90,14,21,100,80,50","100,0,40,13,0,14,3,10,59,50,0","100,100,100,79,0,73,78,16,2,49,100","100,100,0,91,100,23,46,21,10,60,100","100,100,100,100,83,25,97,61,29,62,100","100,100,90,100,0,75,92,22,100,34,100","100,100,100,100,0,100,33,10,71,58,100","100,100,100,100,0,87,80,85,88,53,100","0,100,85,52,0,100,92,20,65,68,100","100,100,100,100,0,91,51,20,70,67,100","100,100,100,100,0,100,100,65,100,85,100","1,75,80,80,0,19,10,20,17,9,100","52,86,77,36,8","33,0,15,36,0,29,0,20,5,22,0","14,66,79,33,53","14,73,66","100,100,61,98,59","43,94,93,20,75","20,0,10,16,100,18,0,17,10,27,5","100,81,61","100,0,20,0,0,17,0,13,8,23,10","25,70,60,100,0,79,84,20,93,34,0","50,50,0,0,0,13,0,21,19,26,10","20,50,20,6,0,20,7,14,100,28,0","75,50,15,100,0,70,85,12,81,82,100","0,0,0,0,0,0,0,30,3,3,0","100,100,25,90,0,94,8,30,100,38,100","95,65,100,100,0,53,81,25,6,11,0","5,50,90,14,83,59,1,20,2,49,0"
"Premarital sex","1,0,0,20,50,13,0,0,6,6,10","0,0,0,25,0,11,0,0,43,0,10","1,20,10,45,0,0,0,0,0,5,0","5,50,0,100,25,0,14,0","1,0,0,30,0,8,0,0,16,1,20","4,0,0,10,0,32,0,0,3,0,0","1,3,59,68,50,36,10,77,24,10,0","1,0,0,21,0,24,0,0,11,0,0","1,12,17,27,50,0,10,11,0,5,30","1,0,0,4,0,79,0,0,12,10,0","1,0,0,61,0,0,0,17,11,0,0","29,91,90,59,100,87,0,100,0,99,100","90,87,100,71,100,100,50,100,59,95,100","1,0,0,37,50,29,5,36,0,5,0","1,0,0,16,0,16,0,38,4,0,5","10,0,0,10,0,34,10,0,0,0,0","30,11,56,44,0,67,0,60,10,0,0","1,0,0,21,0,38,10,0,0,0,10","1,0,0,26,0,41,25,6,23,4,25","1,0,0,20,0,0,0,0,0,0,0","1,0,0,9,0,6,5,42,0,5,5","1,0,0,12,0,0,85,6,0,0,0","28,12,0,38,0,20,5,50,0,7,25","0,29,2,0,0,0","1,45,79,86,100,100,65,100,100,50,100","91,82,4,32,30,0","24,3,0,79,2,1,49,0,76,0,3,0,46,0,0,0,0,3,14,34,45,0,0,100,13,0,2,2,21,13,17,95,100,22,6,0,0,0,45,10,40,0,15,71,38,0,0,59,0,0,0,0,17,54,75,0,3,0,0,77,64,0","0,63,100,9,28,0","0,6,13,0,29,0","1,2,0,17,0,48,50,10,0,4,10","5,7,0,72,2,19,20,0,42,0,0,6,78,0,0,0,0,5,2,39,65,0,0,100,18,0,2,13,7,9,2,98,100,5,23,0,0,0,19,5,58,0,13,75,23,0,3,66,0,0,0,28,27,0,100,0,2,0,0,0,50,100","5,6,0,9,0,60,5,7,21,0,0","79,2,11,31,50,61,30,55,66,7,90","20,11,0,86,100,100,50,100,55,5,100","33,62,3,45,100,75,0,100,72,75,100","1,2,62,79,25,40,10,80,19,5,0","80,100,100,100,100,100,15,100,45,100,100","18,0,74,51,0,31,10,25,12,10,0","1,1,0,25,50,0,50,0,0,50,0","1,0,0,20,0,6,0,10,2,0,0"
"Prostitution","61,63,57,83,74,100,16,3,48,0,44","22,79,2,58,8,100,12,0,31,27,43","79,62,51,100,32,100,50,51,8,20,38","13,37,0,66,75,1,65,14","79,100,77,22,35,90,32,0,4,20,24","44,66,51,72,42,100,38,0,63,21,51","77,0,85,91,92,100,68,0,50,30,49","39,23,96,25,41,100,23,0,24,9,38","91,88,88,64,100,51,78,100,5,43,29","83,97,17,56,78,100,56,14,40,9,25","86,65,100,12,92,25,38,0,1,0,37","64,100,100,94,93,100,73,100,52,39,35","86,100,47,95,88,100,58,5,3,71,30","93,100,91,8,97,100,55,63,48,51,36","63,53,77,47,69,100,10,0,59,10,39","13,44,92,14,98,100,61,0,10,75,39","44,100,54,55,61,100,71,50,92,25,24","34,87,14,13,16,100,0,50,55,53,32","54,96,0,99,42,70,20,3,33,71,50","77,74,60,0,0,40,38,0,28,1,26","73,100,58,11,63,100,17,41,59,40,35","8,0,5,0,51,0,9,0,81,0,32","75,99,68,56,83,100,84,100,19,50,26","0,100,37,53,25,8","92,100,97,100,99,90,74,40,100,71,46","64,100,49,48,29,39","56,19,0,92,3,11,100,0,43,22,0,0,49,100,0,13,0,6,27,60,51,9,0,100,96,12,31,3,47,40,38,95,100,8,45,0,100,5,42,40,35,0,37,75,31,7,0,47,51,0,49,0,37,0,72,100,25,0,21,81,64,0","23,100,100,100,53,48","59,100,100,94,73,50","78,100,73,34,99,100,70,0,26,69,26","63,23,0,91,2,18,100,0,17,4,12,0,68,100,7,7,20,4,18,76,55,5,3,100,51,6,20,48,29,13,5,97,99,14,23,14,100,23,80,25,67,0,13,75,54,0,14,43,17,0,0,0,78,0,78,100,32,0,67,95,76,100","85,97,82,46,53,100,79,79,0,65,36","95,98,83,76,73,100,82,89,68,72,37","97,100,83,79,87,100,41,0,89,48,27","86,99,92,72,89,100,86,54,62,23,57","95,100,100,7,99,100,76,100,63,69,30","100,100,100,100,92,100,100,100,82,91,33","99,100,85,77,100,100,82,100,56,60,28","36,95,58,85,0,100,15,14,5,32,43","93,85,91,27,100,100,70,50,5,77,36"
"Racist speech","0,0,8,0,83,70,0,1,81","100,75,100,34,60,80,60,85,100","70,88,92,60,91,100,65,80,80","49,72,56,100,75,59,57,90","51,0,40,5,32,50,0,80,76","100,100,100,100,93,80,75,90,100","100,0,51,0,52,0,0,60,85","100,78,100,98,87,70,95,75,71","100,100,100,92,92,80,55,60,100","1,0,100,0,19,0,0,41,59","52,88,5,2,8,0,0,1,89","100,32,100,100,55,100,60,20,100","100,100,0,0,0,50,0,90,85","100,100,100,65,84,70,65,95,95","100,73,92,6,38,100,60,80,81","100,100,100,95,92,100,95,70,93","99,0,59,81,30,100,70,50,100","60,0,93,1,27,70,70,10,61","100,100,100,70,49,100,90,50,100","0,2,18,0,13,0,0,10,66","100,100,97,84,79,80,100,100,93","1,0,61,0,0,0,0,0,84","20,0,21,0,6,50,10,50,64","64,97,93,100,100","1,75,61,0,0,0,0,5,46","4,46,48,50,54","81,49,41,81,78,89,100,97,74,62,15,10,77,0,70,0,100,12,100,78,48,56,69,100,28,80,96,56,27,40,47,97,100,13,47,43,83,53,31,10,26,0,54,75,61,12,96,100,55,100,84,50,68,96,74,100,24,0,100,84,60,100","81,89,51,100,100","58,25,51,100,96","100,100,78,20,94,70,100,90,84","22,60,34,92,88,75,100,58,24,20,44,0,86,0,19,0,90,25,100,39,42,36,83,100,34,68,61,44,54,24,39,89,100,12,32,49,82,49,46,24,61,0,15,67,80,17,100,70,49,64,92,34,55,15,75,100,16,0,100,96,67,100","100,100,100,80,96,100,65,81,100","70,92,60,26,95,70,5,10,71","62,65,8,10,0,10,0,85,59","50,61,5,0,0,0,0,60,100","1,100,0,10,24,70,15,90,85","0,0,0,0,0,0,0,0,0","100,75,91,80,97,80,80,75,71","10,0,0,1,54,0,10,1,27","50,0,0,0,5,0,0,0,0"
"Rape","100,30,0,20,100,17,100,32,0,78","100,100,100,100,100,100,100,88,100,100","98,100,100,100,100,100,100,42,62,100","100,100,100,4,100,100,90","100,50,10,80,84,76,91,80,100,100","100,100,100,100,100,85,100,60,100,100","100,70,20,30,100,23,75,35,100,100","100,100,100,100,100,40,100,59,100,100","100,100,100,70,100,94,0,86,100,100","100,90,10,100,37,37,100,72,100,100","100,100,20,20,100,41,50,0,100,100","100,100,100,50,94,87,100,97,100,100","100,100,100,100,100,99,100,100,100,100","100,100,100,100,100,100,95,52,100,100","64,90,100,100,100,72,100,55,100,6","100,100,100,100,100,99,100,100,100,100","100,100,100,80,100,100,60,59,30,100","100,100,100,100,82,91,90,96,100,100","100,100,100,20,100,100,100,83,100,100","98,0,20,50,100,18,62,27,20,76","83,100,80,70,92,76,85,64,100,100","5,0,0,70,0,14,0,73,4,0","78,30,10,80,100,67,50,78,51,100","100,100,100,100,100","100,80,100,70,100,100,100,93,75,100","100,0,15,40,7","18,51,100,100,100","100,100,100,95,100","100,100,100,100,100","99,100,100,100,100,100,100,70,70,100","6,51,100,100,100","100,100,100,100,100,96,100,100,100,100","53,100,100,100,72,73,100,82,100,86","100,100,100,80,100,100,80,64,100,100","100,90,100,21,100,80,100,63,100,100","100,100,100,100,100,100,100,47,100,100","100,100,100,100,100,100,100,82,100,100","100,100,100,100,100,100,100,32,100,100","51,80,20,80,74,24,100,100,75,84","100,0,0,30,42,4,92,83,0,0"
"Refuse military service","3,0,53,0,0,83,20,10,6,11,0","0,0,50,1,5,81,57,86,42,4,0","19,0,25,10,60,91,66,97,31,28,14","52,2,0,36,30,2,64,25","90,0,15,10,20,91,65,94,40,9,30","10,0,7,5,0,91,26,10,40,6,60","91,50,90,81,100,92,97,100,59,92,50","30,0,10,10,50,91,25,22,70,23,35","63,0,44,22,50,92,62,96,53,90,40","18,0,57,10,100,91,34,93,11,74,8","0,0,22,30,20,91,54,45,5,6,0","67,100,54,39,100,92,98,97,34,38,80","0,100,53,9,5,50,65,97,13,3,23","22,0,11,19,50,92,64,97,17,84,0","3,0,36,10,70,71,80,89,60,20,20","34,0,46,19,20,91,74,95,29,20,0","32,0,21,20,90,50,72,98,20,96,50","0,0,2,5,5,69,0,14,17,1,0","5,0,7,0,20,50,36,30,63,10,0","0,0,15,1,0,50,0,95,2,1,0","13,0,21,9,15,81,58,71,41,2,41","0,0,4,1,0,50,0,4,8,2,0","0,0,29,38,5,88,1,96,4,17,0","4,17,55,11,46,10","0,0,10,9,0,50,0,5,32,3,15","53,3,64,0,57,25","80,3,47,81,15,34,0,52,24,16,34,17,76,0,0,21,30,50,47,40,52,5,0,100,52,16,6,36,45,63,44,97,99,27,51,41,68,44,78,20,21,0,13,76,28,16,0,42,26,0,77,23,8,71,86,0,11,52,98,81,74,100","41,12,13,64,92,49","47,31,40,72,80,75","20,0,41,5,1,50,83,5,6,4,0","3,8,0,84,4,0,0,68,31,5,29,0,56,0,1,0,10,9,17,46,67,1,0,100,50,10,6,0,29,10,37,95,98,37,30,5,13,4,70,20,73,0,16,76,57,3,19,54,11,0,0,0,6,20,63,19,11,65,71,92,57,100","10,0,17,4,95,50,23,94,23,14,0","32,0,17,63,100,50,93,85,52,78,0","29,0,23,0,0,50,8,13,15,2,0","14,0,30,14,100,92,84,98,20,66,100","2,0,8,12,10,79,8,95,3,8,45","0,0,1,0,0,50,0,0,5,5,0","40,0,48,15,85,50,86,100,23,92,29","5,0,29,11,2,92,30,97,10,10,28","0,0,8,3,0,50,0,35,6,5,0"
"Revenge","5,1,77,1,0,6,15,6,53,33","68,4,19,62,0,26,56,27,56,38","44,11,37,96,32,10,73,40,63,68","24,36,5,27,8,32,8,0","3,2,25,20,0,0,76,30,45,46","17,19,26,83,0,32,35,50,46,51","6,13,8,4,0,40,38,23,47,5","55,8,87,74,28,17,47,65,49,51","34,2,9,89,33,76,50,41,50,50","1,2,53,21,0,8,13,80,42,51","1,17,50,2,11,0,30,16,58,24","46,31,73,12,14,54,78,40,49,100","1,84,79,24,53,14,32,40,61,40","1,8,14,80,0,21,69,20,35,44","2,3,4,38,0,27,40,30,48,49","12,8,40,25,47,3,26,30,48,32","11,9,68,14,0,3,61,33,47,59","4,0,6,18,0,17,31,25,60,28","3,53,50,30,0,5,34,50,48,51","2,0,59,2,0,39,35,6,48,50","3,4,29,35,13,14,0,31,36,17","3,0,3,2,0,62,27,6,34,9","1,6,73,63,0,27,22,44,49,52","91,21,62,100,100","3,73,21,1,2,76,34,39,40,52","21,65,23,47,6","40,9,5,40,7,9,0,0,59,5,0,8,75,0,0,1,40,11,19,50,51,0,0,100,0,0,38,42,32,32,27,95,100,7,2,0,43,0,77,1,51,0,12,74,27,0,0,46,56,0,0,0,27,5,87,0,23,0,38,78,22,0","7,21,27,61,20","0,39,21,35,50","5,10,44,30,2,5,37,39,56,30","20,4,4,91,5,14,0,0,23,0,58,0,65,0,0,0,40,14,13,53,10,0,28,100,5,0,40,57,19,11,1,80,100,7,1,0,100,0,32,1,74,0,14,79,41,0,0,52,17,0,0,22,41,19,82,0,9,0,53,39,52,100","10,3,45,49,50,36,35,50,76,20","4,3,9,25,12,20,43,9,47,38","3,83,65,16,0,97,28,53,36,68","5,81,84,30,24,0,46,50,39,11","2,0,39,10,0,8,41,14,44,49","1,18,4,1,0,20,0,5,37,6","1,13,71,1,0,6,59,30,32,51","14,10,92,2,0,24,47,9,36,40","17,0,9,0,0,6,28,10,38,16"
"Rob","49,39,100,26,61,80,5,42","39,53,100,10,100,100,100,95","13,58,100,100,100,90,100,100","91,66,51,7,82,95,30","0,52,100,33,31,10,82,35","68,100,87,50,77,100,98,58","4,77,100,0,61,5,92,71","18,31,100,38,100,100,100,64","17,95,100,61,100,5,100,93","14,54,100,39,100,60,91,48","6,28,100,30,100,1,65,81","92,57,100,100,100,100,98,100","10,56,54,87,100,1,75,14","5,84,100,76,100,80,100,100","33,74,100,75,100,60,85,50","80,69,100,82,100,85,100,78","6,60,100,93,82,0,98,88","8,26,100,6,100,2,84,75","46,77,100,7,100,60,2,92","71,87,100,53,100,70,100,88","32,57,100,35,100,30,90,55","5,12,100,0,0,0,4,0","3,21,92,38,100,0,18,50","55,71,0,94","0,39,100,20,42,40,95,2","66,85,40,13","72,85,87","44,64,80,89","77,80,100,97","28,70,100,0,71,20,100,86","100,90,92","29,37,100,72,100,80,100,88","61,87,100,78,100,85,99,100","6,43,100,58,100,65,77,77","87,75,100,83,100,100,100,77","10,56,100,25,100,90,47,57","0,6,81,0,0,0,0,0","22,59,63,82,100,90,100,100","50,38,100,40,83,95,74,34","95,80,100,94,95,100,98,69"
"Run a red light","1,0,20,100,0,84,9,66,1,20,100,0","1,4,62,100,60,90,41,99,69,13,100,25","1,91,57,100,20,67,3,61,62,32,100,20","72,99,16,30,31,32,10,84","1,90,57,71,27,92,47,92,1,9,100,9","1,0,57,100,35,72,18,97,21,5,100,0","1,100,56,100,50,92,77,97,0,100,90,14","5,20,61,100,18,17,31,98,1,20,100,0","23,5,59,0,51,81,33,93,28,50,100,0","1,9,64,0,20,91,49,22,1,70,5,51","1,50,56,100,21,85,7,90,3,8,100,0","20,95,69,100,93,90,50,69,2,83,100,21","1,20,60,100,40,82,25,86,1,65,100,0","1,70,53,100,21,80,11,85,5,32,90,0","1,10,80,0,31,75,48,98,1,40,95,29","20,80,40,9,60,20,25,96,6,19,60,33","1,100,70,49,33,65,6,84,4,50,90,0","1,50,70,51,59,90,51,92,1,60,100,70","40,50,63,50,21,96,37,96,71,54,100,100","1,20,60,23,51,92,6,75,59,66,100,49","1,40,60,100,25,6,24,96,62,76,100,86","1,0,38,0,10,87,1,11,2,85,0,80","40,50,59,100,10,76,17,88,64,86,100,53","0,7,11,0,18,0","30,90,57,0,27,84,27,97,2,75,20,0","30,97,83,84,64,71","16,20,4,52,3,20,70,4,50,15,11,18,69,0,0,0,0,24,89,13,45,8,0,100,74,25,27,77,46,20,18,99,99,16,11,0,87,0,78,10,50,0,14,76,1,8,0,50,88,0,17,0,40,18,67,31,5,0,100,99,72,0","14,5,98,86,60,96","24,92,89,75,50,4","1,1,51,0,10,69,8,94,0,40,0,0","76,39,17,68,54,58,100,27,26,29,22,0,75,50,1,7,25,66,87,2,54,20,23,100,52,55,14,73,16,49,1,89,100,17,7,36,83,18,70,1,79,9,13,70,62,6,87,72,75,10,0,37,21,37,88,100,4,0,100,16,100,100","1,10,35,30,20,81,3,92,2,16,10,0","70,51,62,100,50,85,40,96,83,81,100,92","11,90,62,0,75,91,62,87,2,50,90,0","1,20,78,50,80,83,77,97,2,49,100,0","1,80,56,71,16,23,10,64,1,32,0,0","1,0,35,0,0,91,1,0,0,21,0,0","20,10,56,100,15,90,5,96,13,32,80,52","1,0,53,50,0,89,12,29,1,4,0,53","1,1,55,0,10,19,2,2,0,0,50,0"
"Self-harm","8,0,70,93,2,11,4","9,0,0,0,0,9,9","41,50,49,63,99,60,21","35,59,0,3,5,3,60","0,50,40,0,5,1,53","15,0,0,83,0,4,23","0,50,0,0,30,32,0","3,100,1,55,0,7,51","36,100,80,78,95,70,5","82,100,20,0,100,97,3","36,0,40,0,2,13,21","12,100,100,38,100,37,70","11,60,95,0,100,51,51","31,0,95,70,100,72,51","3,20,0,4,2,7,3","0,0,90,51,100,18,11","58,100,95,67,100,56,74","6,100,50,58,91,95,99","5,10,0,0,2,7,2","0,0,0,0,100,15,6","7,20,0,0,0,14,0","0,0,1,0,5,13,2","100,100,100,91,100,99,94","87,83,100,3,30,80","0,0,80,47,0,8,72","58,59,100,19,87,58","0,28,39","37,0,100,9,11,100","75,0,80,6,85,100","0,0,1,0,0,5,2","93,37,40","61,100,90,69,100,80,36","20,100,10,0,100,76,76","49,0,100,80,100,69,28","1,50,30,0,35,49,78","10,0,55,25,0,3,86","0,0,1,0,0,3,56","60,50,90,33,100,69,77","14,0,10,0,6,1,4","0,0,0,0,0,2,0"
"Sexism","42,56,3,28,61,40,70,89","11,57,34,21,46,16,20,98","79,55,95,80,54,48,100,70","47,58,57,93,75,57,50,52","13,38,57,61,49,82,14,50","46,69,91,92,37,61,50,48","15,44,48,20,49,26,30,39","40,62,93,80,25,74,100,32","9,44,98,82,53,68,100,100","15,39,3,8,32,31,3,10","39,44,42,83,21,60,4,18","21,68,52,67,65,77,100,75","11,34,71,80,36,91,50,30","78,73,96,94,48,53,100,97","21,49,75,29,38,60,100,73","71,59,75,100,60,78,82,54","13,69,50,76,44,36,20,80","46,74,6,53,17,35,50,59","20,43,54,86,36,25,20,78","38,56,16,0,4,50,10,28","62,36,86,52,41,57,100,49","0,80,1,0,15,15,10,3","55,39,33,9,48,70,9,72","90,10,68,97","74,41,52,9,41,50,100,83","34,9,60,24","38,42,36,73,83,88,100,97,24,25,7,0,60,0,71,0,100,12,100,43,42,56,68,100,27,68,95,57,25,36,54,87,99,6,34,11,89,51,86,20,40,100,17,70,53,24,96,48,53,100,84,32,61,100,71,100,24,0,100,93,60,100","94,22,73,3","88,55,42,3","14,59,66,92,53,25,100,82","10,36,32,90,81,65,100,58,15,26,40,0,68,0,19,0,80,15,100,25,39,33,70,100,20,68,62,45,14,24,65,94,99,13,19,15,85,50,70,25,33,0,12,75,39,10,96,68,10,25,69,31,30,9,76,100,8,0,100,86,67,100","25,50,35,40,51,36,72,27","0,57,26,2,18,59,20,49","12,46,90,83,64,88,40,60","41,49,31,92,65,74,98,60","20,75,90,92,59,78,50,81","13,60,62,51,96,100,100,100","72,47,31,87,30,73,11,90","11,56,7,29,38,81,100,29","0,58,46,82,47,60,20,15"
"Sexual harassment","97,40,100,0,0,90,0,70,64","15,85,100,100,100,100,100,96,100","100,78,100,100,100,100,100,96,100","93,94,0,11,100,90,85","38,92,0,50,100,85,100,40,87","31,99,100,100,100,95,100,84,100","20,79,0,0,50,5,0,79,60","62,90,100,100,100,85,19,84,93","86,96,100,80,100,85,100,19,100","39,91,90,100,22,0,0,59,54","12,86,0,100,13,95,0,95,87","100,89,100,50,32,60,100,48,100","98,79,100,100,80,75,100,89,90","87,91,100,100,100,100,100,90,100","4,89,25,100,49,40,33,69,76","100,77,90,100,100,90,100,82,80","27,93,100,100,100,85,100,81,89","0,91,100,100,100,100,84,81,84","8,71,100,100,100,100,100,89,100","72,95,0,100,0,70,0,54,42","19,92,95,100,100,60,16,73,100","2,85,0,100,0,55,0,0,54","0,91,0,100,0,85,0,56,10","100,50,92,28","99,93,100,100,100,50,39,60,78","100,32,32,56","91,49,20","100,91,75,68","100,87,69,37","54,67,100,100,100,100,14,50,92","90,99,40","100,89,100,100,100,100,88,83,100","91,85,100,100,100,45,86,51,100","100,97,100,100,100,80,100,55,87","50,71,0,80,100,50,100,59,90","100,60,100,100,100,95,100,58,100","87,82,100,100,100,99,100,61,100","68,92,100,100,100,100,100,56,100","0,59,75,100,0,0,0,62,85","29,2,0,0,0,51,0,27,10"
